no,question
1,Trace down the trachea to the carina.Is there tracheal deviation?
2,Trace down the trachea to the carina.Is there narrowing or widening of tracheal diameter?
3,Trace down both main bronchi.Is carina wide(Carina Angle : more than 100 degrees)?
4,Trace down both main bronchi.Is there bronchial narrowing or cut-off?
5,"Trace down both main bronchi.Is there any inhaled foreign body(Battery, Nail, Coin, etc.)?"
6,Both lungs should be well expanded and similar in volume.Is one lung prominently larger than the other?
7,"Compare the apical,upper,middle and lower zones in turn.Are they symmetrical?"
8,"Compare the apical,upper,middle and lower zones in turn.Are there areas of abnormal increased density?"
9,Trace both hilum.Is the left hilum higher than right? (1-2cm higher)
10,Trace both hilum.Are both hilum in good inverted C shape?
11,Trace both hilum.Are both hilar angle in normal range? (120 degrees <)
12,Trace the lung vessels (Normal pulmonary vascular marking).Do they branch out progressively and uniformly?
13,Trace the lung vessels (Normal pulmonary vascular marking).Are there extra lines in the periphery that arent vessels?
14,Trace the lateral margins of the lung to the costophrenic angles.Is there costophrenic angle blunting?
15,Trace the hemidiaphragms in to the vertebra.Is the right diaphragm higher than left?
16,Trace the cardiac borders.Can you clearly see the left and right heart border?
17,Check the cardiac position.Is 1/3 to the right and 2/3 to the left?
18,Assess cardiac size.Is the cardiothoracic ratio in its normal range(Ratio : less than 50)?
19,Check the position and size of the aortic arch and pulmonary trunk.Is the Aortic knob diameter in its normal range? (Diameter < 3.5cm)
20,Check the position and size of the aortic arch and pulmonary trunk.Is Rt pulmonary artery diameter in its normal range? (Diameter < 20mm)
21,Check the position and size of the aortic arch and pulmonary trunk.Is Lt pulmonary artery diameter in its normal range? (Diameter < 20mm)
22,Check the width of the upper mediastinum.Is there mediastinal widening? (Mediastinum width >8cm)
23,Look at the hilar vessels.Can you see them clearly on both sides?
24,Trace along each posterior (horizontal) rib on one side of the chest.Is there any fracture or abnormal lesions?
25,"Trace along other bony structures.Is there any fracture or abnormal lesions in both clavicle, scapula, spine and other bony structures?"
26,"Review the upper abdomen, soft tissues and take a look at some final check areas.Is there free gas under the diaphragms?"
27,"Review the upper abdomen, soft tissues and take a look at some final check areas.Is there subcutaneous emphysema?"
28,"Review the upper abdomen, soft tissues and take a look at some final check areas.Is there a hiatus hernia?"
